AD_Org_ID[Name],AD_Package_Exp_ID[Name],Line,Type,AD_EntityType_ID[EntityType],AD_Menu_ID[Name],FileName,File_Directory,Target_Directory,Destination_FileName,Destination_Directory,AD_Table_ID[Name],DBType,SQLStatement,AD_Package_Code_Old,AD_Package_Code_New,AD_Form_ID[Name],AD_Process_ID[Value],AD_Workflow_ID[Value],AD_Window_ID[Name],AD_Role_ID[Name],AD_ReportView_ID[Name],AD_ImpFormat_ID[Name],AD_Val_Rule_ID[Name],AD_Message_ID[Value],AD_PrintFormat_ID[Name],ReleaseNo,Description,AD_Reference_ID[Name],AD_ModelValidator_ID[Name],AD_InfoWindow_ID[Name],ExecCode
*,AMERPSOFT Editor Geo-Localization,1010,REF,,,,,,,,,ALL,,,,,,,,,,,,,,,,GeocodingStatus,,,
*,AMERPSOFT Editor Geo-Localization,4010,T,,,,,,,,Country,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Editor Geo-Localization,4020,T,,,,,,,,Community,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Editor Geo-Localization,4030,T,,,,,,,,Region,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Editor Geo-Localization,4060,T,,,,,,,,C_Municipality,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Editor Geo-Localization,4070,T,,,,,,,,C_Parish,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Editor Geo-Localization,4110,T,,,,,,,,Partner Location,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Editor Geo-Localization,4200,T,,,,,,,,Address,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Editor Geo-Localization,6010,P,,,,,,,,,ALL,,,,,OpenLocation,,,,,,,,,,,,,,
*,AMERPSOFT Editor Geo-Localization,6020,P,,,,,,,,,ALL,,,,,ProcessSingleLocationGeocoding,,,,,,,,,,,,,,
*,AMERPSOFT Editor Geo-Localization,6030,P,,,,,,,,,ALL,,,,,ProcessBatchGeocoding,,,,,,,,,,,,,,
*,AMERPSOFT Editor Geo-Localization,8000,W,,,,,,,,,ALL,,,,,,,Location,,,,,,,,,,,,
*,AMERPSOFT Editor Geo-Localization,8020,W,,,,,,,,,ALL,,,,,,,Business Partner,,,,,,,,,,,,
*,AMERPSOFT Editor Geo-Localization,9010,D,,,,,,,,ToolBar Button,ALL,"SELECT 	* FROM 	AD_ToolBarButton WHERE 	AD_ToolBarButton_ID IN  (1000225,1000226)",,,,,,,,,,,,,,,,,,
*,AMERPSOFT Editor Geo-Localization,9020,D,,,,,,,,System Configurator,ALL,SELECT 	* FROM 	AD_SysConfig WHERE AD_SysConfig_ID=1000014,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Editor Geo-Localization,10000,D,,,,,,,,Package Exp.,ALL,SELECT * FROM AD_Package_Exp WHERE AD_Package_Exp_UU='00f4bf5c-61f1-463e-9527-b853f23c913d';AD_Package_Exp_Detail,,,,,,,,,,,,,,,,,,
