AD_Org_ID[Name],AD_Package_Exp_ID[Name],Line,Type,AD_EntityType_ID[EntityType],AD_Menu_ID[Name],FileName,File_Directory,Target_Directory,Destination_FileName,Destination_Directory,AD_Table_ID[Name],DBType,SQLStatement,AD_Package_Code_Old,AD_Package_Code_New,AD_Form_ID[Name],AD_Process_ID[Value],AD_Workflow_ID[Value],AD_Window_ID[Name],AD_Role_ID[Name],AD_ReportView_ID[Name],AD_ImpFormat_ID[Name],AD_Val_Rule_ID[Name],AD_Message_ID[Value],AD_PrintFormat_ID[Name],ReleaseNo,Description,AD_Reference_ID[Name],AD_ModelValidator_ID[Name],AD_InfoWindow_ID[Name],ExecCode
*,AMERPSOFT Editor AD,10,ET,AMERP,,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Editor AD,20,T,,,,,,,,Community,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Editor AD,30,T,,,,,,,,Region,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Editor AD,40,T,,,,,,,,Country,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Editor AD,50,T,,,,,,,,City,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Editor AD,60,T,,,,,,,,C_Municipality,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Editor AD,70,T,,,,,,,,C_Parish,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Editor AD,80,REF,,,,,,,,,ALL,,,,,,,,,,,,,,,,LocationExtended,,,
*,AMERPSOFT Editor AD,90,MSG,,,,,,,,,ALL,,,,,,,,,,,,Municipality,,,,,,,
*,AMERPSOFT Editor AD,100,MSG,,,,,,,,,ALL,,,,,,,,,,,,Parish,,,,,,,
*,AMERPSOFT Editor AD,110,MSG,,,,,,,,,ALL,,,,,,,,,,,,Community,,,,,,,
*,AMERPSOFT Editor AD,120,W,,,,,,,,,ALL,,,,,,,Country Region and City,,,,,,,,,,,,
*,AMERPSOFT Editor AD,130,W,,,,,,,,,ALL,,,,,,,Country Community Region Municipality Parish City,,,,,,,,,,,,
*,AMERPSOFT Editor AD,140,M,,Country Community Region Municipality Parish City,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Editor AD,150,D,,,,,,,,Package Exp.,ALL,SELECT * FROM AD_Package_Exp WHERE AD_Package_Exp_UU='566a4b55-7c21-4b99-862c-169baad177fa';AD_Package_Exp_Detail,,,,,,,,,,,,,,,,,,
