AD_Org_ID[Name],Parent_Tax_ID[Name],Name,Description,IsActive,IsDefault,C_TaxCategory_ID[Name],ValidFrom,IsTaxExempt,RequiresTaxCertificate,IsDocumentLevel,IsSalesTax,IsSummary,SOPOType,TaxIndicator,Rate,C_Country_ID[Name],To_Country_ID[Name],C_Region_ID[Name],To_Region_ID[Name],C_TaxProvider_ID[Name],C_CountryGroupTo_ID[Value],C_CountryGroupFrom_ID[Value]
*,,000,Declaración Retenciones Sin Operaciones - Porcentaje:0,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"0,0",Venezuela,Venezuela,,,,,
*,,001,Sueldos y Salarios - Porcentaje:Variable,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"0,0",Venezuela,Venezuela,,,,,
*,,002,Honorarios Profesionales No Mercantiles (PNR) - Porcentaje:3%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"3,0",Venezuela,Venezuela,,,,,
*,,003,Honorarios Profesionales No Mercantiles (PNNR) - Porcentaje:34%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"34,0",Venezuela,Venezuela,,,,,
*,,004,Honorarios Profesionales No Mercantiles (PJD) - Porcentaje:5%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"5,0",Venezuela,Venezuela,,,,,
*,,005,Honorarios Profesionales No Mercantiles (PJND) - Porcentaje:15% hasta 2000 U.T. 22% entre 2000 U.T hasta 3000 U.T. 34% monto que exceda de 3000 U.T.,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"15,0",Venezuela,Venezuela,,,,,
*,,006,Honorarios Profesionales Mancomunados No Mercantiles (PNR) - Porcentaje:3%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"3,0",Venezuela,Venezuela,,,,,
*,,007,Honorarios Profesionales Mancomunados No Mercantiles (PNNR) - Porcentaje:34%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"34,0",Venezuela,Venezuela,,,,,
*,,008,Honorarios Profesionales Mancomunados No Mercantiles (PJD) - Porcentaje:5%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"5,0",Venezuela,Venezuela,,,,,
*,,009,Honorarios Profesionales Mancomunados No Mercantiles (PJND) - Porcentaje:15% hasta 2000 U.T. 22% entre 2000 U.T hasta 3000 U.T. 34% monto que exceda de 3000 U.T.,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"15,0",Venezuela,Venezuela,,,,,
*,,010,Honorarios Profesionales pagados a Jinetes Veterinarios Preparadores o Entrenadores (PNR) - Porcentaje:3%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"3,0",Venezuela,Venezuela,,,,,
*,,011,Honorarios Profesionales pagados a Jinetes Veterinarios Preparadores o Entrenadores (PNNR) - Porcentaje:34%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"34,0",Venezuela,Venezuela,,,,,
*,,012,Honorarios Profesionales pagados por Clínicas Hospitales Centros de Salud Bufetes Escritorios Oficinas Colegios Profesionales u otra Institución Profesionales No Mercantiles a Profesionales sin relación de dependencia (PNR) - Porcentaje:3%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"3,0",Venezuela,Venezuela,,,,,
*,,013,Honorarios Profesionales pagados por Clínicas Hospitales Centros de Salud Bufetes Escritorios Oficinas Colegios Profesionales u otra Institución Profesionales No Mercantiles a Profesionales sin relación de dependencia (PNNR) - Porcentaje:34%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"34,0",Venezuela,Venezuela,,,,,
*,,014,Comisiones pagadas por la venta de bienes inmuebles (PNR) - Porcentaje:3%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"3,0",Venezuela,Venezuela,,,,,
*,,015,Comisiones pagadas por la venta de bienes inmuebles (PNNR) - Porcentaje:34%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"34,0",Venezuela,Venezuela,,,,,
*,,016,Comisiones pagadas por la venta de bienes inmuebles (PJD) - Porcentaje:5%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"5,0",Venezuela,Venezuela,,,,,
*,,017,Comisiones pagadas por la venta de bienes inmuebles (PJND) - Porcentaje:5%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"5,0",Venezuela,Venezuela,,,,,
*,,018,Cualquier otra Comisión distintas a Remuneraciones accesorias de los sueldos salarios y demás remuneraciones similares (PNR) - Porcentaje:3%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"3,0",Venezuela,Venezuela,,,,,
*,,019,Cualquier otra Comisión distintas a Remuneraciones accesorias de los sueldos salarios y demás remuneraciones similares (PNNR) - Porcentaje:34%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"34,0",Venezuela,Venezuela,,,,,
*,,020,Cualquier otra Comisión distintas a Remuneraciones accesorias de los sueldos salarios y demás remuneraciones similares (PJD) - Porcentaje:5%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"5,0",Venezuela,Venezuela,,,,,
*,,021,Cualquier otra Comisión distintas a Remuneraciones accesorias de los sueldos salarios y demás remuneraciones similares (PJND) - Porcentaje:5%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"5,0",Venezuela,Venezuela,,,,,
*,,022,Intereses de Capitales tomados en préstamo e invertidos en la producción de la renta (PNNR) - Porcentaje:34%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"34,0",Venezuela,Venezuela,,,,,
*,,023,Intereses de Capitales tomados en préstamo e invertidos en la producción de la renta (PJND) - Porcentaje:15% hasta 2000 U.T. 22% entre 2000 U.T hasta 3000 U.T. 34% monto que exceda de 3000 U.T.,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"15,0",Venezuela,Venezuela,,,,,
*,,024,Intereses provenientes de préstamos y otros créditos pagaderos a instituciones financieras constituidas en el exterior y no domiciliadas en el país (PJND) - Porcentaje:4 95%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"4,95",Venezuela,Venezuela,,,,,
*,,025,Intereses pagados por las personas jurídicas o comunidades a cualquier otra persona natural jurídica o comunidad (PNR) - Porcentaje:3%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"3,0",Venezuela,Venezuela,,,,,
*,,026,Intereses pagados por las personas jurídicas o comunidades a cualquier otra persona natural jurídica o comunidad (PNNR) - Porcentaje:34%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"34,0",Venezuela,Venezuela,,,,,
*,,027,Intereses pagados por las personas jurídicas o comunidades a cualquier otra persona natural jurídica o comunidad (PJD) - Porcentaje:5%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"5,0",Venezuela,Venezuela,,,,,
*,,028,Intereses pagados por las personas jurídicas o comunidades a cualquier otra persona natural jurídica o comunidad (PJND) - Porcentaje:15% hasta 2000 U.T. 22% entre 2000 U.T hasta 3000 U.T. 34% monto que exceda de,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"15,0",Venezuela,Venezuela,,,,,
*,,029,Enriquecimientos Netos de las Agencias Internacionales cuando el pagador sea una personas jurídica o comunidad domiciliada en el país (PJND) - Porcentaje:15% hasta 2000 U.T. 22% entre 2000 U.T hasta 3000 U.T. 34% monto que exceda de 3000 U.T.,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"15,0",Venezuela,Venezuela,,,,,
*,,030,Enriquecimientos Netos de Gastos de Transporte conformados por fletes pagados a agencias o empresas de transporte internacional constituidas y domiciliadas en el exterior (PNNR) - Porcentaje:10%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"10,0",Venezuela,Venezuela,,,,,
*,,031,Enriquecimientos Netos de Gastos de Transporte conformados por fletes pagados a agencias o empresas de transporte internacional constituidas y domiciliadas en el exterior (PJND) - Porcentaje:10%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"10,0",Venezuela,Venezuela,,,,,
*,,032,Enriquecimientos Netos de Exhibición de Películas Cine o la Televisión (PNNR) - Porcentaje:34%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"15,0",Venezuela,Venezuela,,,,,
*,,033,Enriquecimientos Netos de Exhibición de Películas Cin o la Televisión (PJND) - Porcentaje:15% hasta 2000 U.T. 22% entre 2000 U.T hasta 3000 U.T. 34% monto que exceda de 3000 U.T.,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"15,0",Venezuela,Venezuela,,,,,
*,,034,Enriquecimientos obtenidos por concepto de regalías y demás participaciones análogas (PNNR) - Porcentaje:34%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"34,0",Venezuela,Venezuela,,,,,
*,,035,Enriquecimientos obtenidos por concepto de regalías y demás participaciones análogas (PJND) - Porcentaje:15% hasta 2000 U.T. 22% entre 2000 U.T hasta 3000 U.T. 34% monto que exceda de 3000 U.T.,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"15,0",Venezuela,Venezuela,,,,,
*,,036,Enriquecimientos obtenidos por las Remuneraciones Honorarios y pagos análogos por Asistencia Técnica (PNNR) - Porcentaje:34%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"34,0",Venezuela,Venezuela,,,,,
*,,037,Enriquecimientos obtenidos por las Remuneraciones Honorarios y pagos análogos por Asistencia Técnica (PJND) - Porcentaje:15% hasta 2000 U.T. 22% entre 2000 U.T hasta 3000 U.T. 34% monto que exceda de 3000 U.T.,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"15,0",Venezuela,Venezuela,,,,,
*,,038,Enriquecimientos obtenidos por Servicios Tecnológicos utilizados en el país o cedidos a Terceros (PNNR) - Porcentaje:34%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"34,0",Venezuela,Venezuela,,,,,
*,,039,Enriquecimientos obtenidos por Servicios Tecnológicos utilizados en el país o cedidos a Terceros (PJND) - Porcentaje:15% hasta 2000 U.T. 22% entre 2000 U.T hasta 3000 U.T. 34% monto que exceda de 3000 U.T.,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"15,0",Venezuela,Venezuela,,,,,
*,,040,Enriquecimientos Netos derivados de las Primas de Seguros y Reaseguros (PJND) - Porcentaje:10%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"10,0",Venezuela,Venezuela,,,,,
*,,041,Ganancias Obtenidas por Juegos y Apuestas (PNR) - Porcentaje:34%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"34,0",Venezuela,Venezuela,,,,,
*,,042,Ganancias Obtenidas por Juegos y Apuestas (PNNR) - Porcentaje:34%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"34,0",Venezuela,Venezuela,,,,,
*,,043,Ganancias Obtenidas por Juegos y Apuestas (PJD) - Porcentaje:34%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"34,0",Venezuela,Venezuela,,,,,
*,,044,Ganancias Obtenidas por Juegos y Apuestas (PJND) - Porcentaje:34%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"34,0",Venezuela,Venezuela,,,,,
*,,045,Ganancias Obtenidas por Premios de Loterías y de Hipódromos (PNR) - Porcentaje:16%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"16,0",Venezuela,Venezuela,,,,,
*,,046,Ganancias Obtenidas por Premios de Loterías y de Hipódromos (PNNR) - Porcentaje:16%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"16,0",Venezuela,Venezuela,,,,,
*,,047,Ganancias Obtenidas por Premios de Loterías y de Hipódromos (PJD) - Porcentaje:16%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"16,0",Venezuela,Venezuela,,,,,
*,,048,Ganancias Obtenidas por Premios de Loterías y de Hipódromos (PJND) - Porcentaje:16%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"16,0",Venezuela,Venezuela,,,,,
*,,049,Pagos a Propietarios de Animales de Carrera por concepto de Premios (PNR) - Porcentaje:3%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"3,0",Venezuela,Venezuela,,,,,
*,,050,Pagos a Propietarios de Animales de Carrera por concepto de Premios (PNNR) - Porcentaje:34%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"34,0",Venezuela,Venezuela,,,,,
*,,051,Pagos a Propietarios de Animales de Carrera por concepto de Premios (PJD) - Porcentaje:5%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"5,0",Venezuela,Venezuela,,,,,
*,,052,Pagos a Propietarios de Animales de Carrera por concepto de Premios (PJND) - Porcentaje:5%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"5,0",Venezuela,Venezuela,,,,,
*,,053,Pagos a Empresas Contratistas o Subcontratistas domiciliadas o no en el país por la ejecución de obras o de la prestación de servicios en base a valuaciones y ordenes de pago (PNR) - Porcentaje:1%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"1,0",Venezuela,Venezuela,,,,,
*,,054,Pagos a Empresas Contratistas o Subcontratistas domiciliadas o no en el país por la ejecución de obras o de la prestación de servicios en base a valuaciones y ordenes de pago (PNNR) - Porcentaje:34%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"34,0",Venezuela,Venezuela,,,,,
*,,055,Pagos a Empresas Contratistas o Subcontratistas domiciliadas o no en el país por la ejecución de obras o de la prestación de servicios en base a valuaciones y ordenes de pago (PJD) - Porcentaje:2%,Y,N,Retencion ISLR,2009-01-01,N,N,N,N,N,B,,"2,0",Venezuela,Venezuela,,,,,
