"[Account_Value]","[Account_Name]","[Account_Description]","[Account_Type]","[Account_Sign]","[Account_Document]","[Account_Summary]","[Default_Account]","[Account_Parent]","[Balance Sheet]","[Balance Sheet_Name]","[US 1120 Balance Sheet]","US 1120 Balance Sheet_Name","[Profit & Loss]","[Profit & Loss_Name]","[US 1120 Income Statement]","[US 1120 Income Statement_Name]","[Cash Flow]","[Cash Flow_Name]"
1,"ACTIVO",,"Asset",,,"Yes",,,1,"ACTIVO",,,,,,,,
101,"ACTIVO CORRIENTE",,"Asset",,,"Yes",,1,101,"ACTIVO CORRIENTE",,,,,,,,
10101,"DISPONIBILIDADES",,"Asset",,,"Yes",,101,10101,"DISPONIBILIDADES",,,,,,,,
1010101,"RECAUDACIONES A DEPOSITAR",,"Asset",,,"Yes",,10101,1010101,"RECAUDACIONES A DEPOSITAR",,,,,,,,
1010101001,"CD USD Rec. A Depositar","CD USD Rec. A Depositar","Asset",,,"No",,1010101,1010101001,"CD USD Rec. A Depositar",,,,,,,,
1010101002,"CD PYG  Rec. A Depositar","CD PYG  Rec. A Depositar","Asset",,,"No",,1010101,1010101002,"CD PYG  Rec. A Depositar",,,,,,,,
1010101003,"CD BRL  Rec. A Depositar","CD BRL  Rec. A Depositar","Asset",,,"No",,1010101,1010101003,"CD BRL  Rec. A Depositar",,,,,,,,
1010101004,"CD ARS  Rec. A Depositar","CD ARS  Rec. A Depositar","Asset",,,"No",,1010101,1010101004,"CD ARS  Rec. A Depositar",,,,,,,,
1010101005,"CD EUR  Rec. A Depositar","CD EUR  Rec. A Depositar","Asset",,,"No",,1010101,1010101005,"CD EUR  Rec. A Depositar",,,,,,,,
1010101006,"MY01 USD  Rec. A Depositar","MY01 USD  Rec. A Depositar","Asset",,,"No",,1010101,1010101006,"MY01 USD  Rec. A Depositar",,,,,,,,
1010101007,"MY01 PYG  Rec. A Depositar","MY01 PYG  Rec. A Depositar","Asset",,,"No",,1010101,1010101007,"MY01 PYG  Rec. A Depositar",,,,,,,,
