[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Balance Sheet],[Balance Sheet_Name],[US 1120 Balance Sheet],[US 1120 Balance Sheet_Name],[Profit & Loss],[Profit & Loss_Name],[US 1120 Income Statement],[US 1120 Income Statement_Name],[Cash Flow],[Cash Flow_Name]
1,ACTIVO,,Asset,,,Yes,,,,,,,,,,,,
11,ACTIVO CORRIENTE,,Asset,,,Yes,,1,,,,,,,,,,
111,Efectivo y Equivalentes,,Asset,,,Yes,,11,,,,,,,,,,
111100,Caja moneda nacional,Cash Book Asset,Asset,,Yes,No,CB_ASSET_ACCT,111,,,,,,,,,,
111101,Caja moneda extranjera,,Asset,,,No,,111,,,,,,,,,,
111102,Bancos moneda nacional,Bank Asset,Asset,,Yes,No,B_ASSET_ACCT,111,,,,,,,,,,
111103,Bancos moneda extranjera,,Asset,,,No,,111,,,,,,,,,,
111104,Bancos moneda nacional transito,Bank transactions in transit,Asset,,Yes,No,B_INTRANSIT_ACCT,111,,,,,,,,,,
111105,Bancos moneda extranjera transito,,Asset,,,No,,111,,,,,,,,,,
111106,Inversiones para negociar,,Asset,,,No,,111,,,,,,,,,,
111107,Depositos de clientes sin identificar,Receipts from unidentified customer,Asset,,Yes,No,B_UNIDENTIFIED_ACCT,111,,,,,,,,,,
111108,Pagos recibidos sin asignar,Received unallocated payments,Asset,,Yes,No,B_UNALLOCATEDCASH_ACCT,111,,,,,,,,,,
111109,Caja Chica en Transito,Cash Book Transfer,Asset,,Yes,No,CB_CASHTRANSFER_ACCT,111,,,,,,,,,,
112,Otros activos financieros,,Asset,,,Yes,,11,,,,,,,,,,
112150,Inversiones instrumentos de patrimonio  corto plazo,,Asset,,,No,,112,,,,,,,,,,
112151,Inversiones en instrumentos de deuda  corto plazo,,Asset,,,No,,112,,,,,,,,,,
112152,Prestamos a corto plazo,,Asset,,,No,,112,,,,,,,,,,
112153,Prestamos a corto plazo por enajenacion activos corto plazo,,Asset,,,No,,112,,,,,,,,,,
112154,Prestamos al personal  corto plazo,,Asset,,,No,,112,,,,,,,,,,
112156,Dividendos por cobrar,,Asset,,,No,,112,,,,,,,,,,
112157,Intereses por cobrar,,Asset,,,No,,112,,,,,,,,,,
112158,Plazo fijo. Corto plazo,,Asset,,,No,,112,,,,,,,,,,
112159,Desembolsos pend sobre instr de patrimonio neto a corto pl,,Asset,,,No,,112,,,,,,,,,,
112193,Deter valor invers en instr  de patrim part relac  corto pl,,Asset,,,No,,112,,,,,,,,,,
112194,Deter valor invers en instr de deuda  part relac corto pl,,Asset,,,No,,112,,,,,,,,,,
112195,Deterioro de valor de creditos  partes relac corto plazo,,Asset,,,No,,112,,,,,,,,,,
112196,Deter de valor  invers instrument de patrimonio corto plazo,,Asset,,,No,,112,,,,,,,,,,
112197,Deterioro valor de inversiones en instrum de deuda  corto pl,,Asset,,,No,,112,,,,,,,,,,
112198,Deterioro de valor de prestamos  corto plazo,,Asset,,,No,,112,,,,,,,,,,
113,Cuentas por cobrar,,Asset,,,Yes,,11,,,,,,,,,,
113430,Cuentas por cobrar clientes productos,Accounts Receivables,Asset,,Yes,No,C_RECEIVABLE_ACCT,113,,,,,,,,,,
113431,Efectos y documentos por cobrar clientes,,Asset,,,No,,113,,,,,,,,,,
113432,Cuentas por cobrar clientes servicios,Accounts Receivables for Services,Asset,,Yes,No,C_RECEIVABLE_SERVICES_ACCT,113,,,,,,,,,,
113433,Cuentas por cobrar clientes partes relacionadas,Default Receivables account for intercompany trx,Asset,,Yes,No,INTERCOMPANYDUEFROM_ACCT,113,,,,,,,,,,
113434,Cuentas por cobrar clientes sin facturar,We delivered but have not invoiced yet,Asset,,Yes,No,NOTINVOICEDRECEIVABLES_ACCT,113,,,,,,,,,,
113436,Envases y embalajes a devolver a clientes,,Asset,,,No,,113,,,,,,,,,,
113437,Anticipos de clientes,Prepayments for future revenue,Asset,,Yes,No,C_PREPAYMENT_ACCT,113,,,,,,,,,,
113438,Devoluciones por pagar,,Asset,,,No,,113,,,,,,,,,,
113439,Correccion de valor por deuda incobrable  clientes,,Asset,,,No,,113,,,,,,,,,,
113490,Deterioro del valor de las cuentas comerciales,,Asset,,,No,,113,,,,,,,,,,
114,Activo por impuesto corriente,,Asset,,,Yes,,11,,,,,,,,,,
114470,Tributos por compensar,Tax to receive based on tax declaration,Asset,,Yes,No,T_RECEIVABLES_ACCT,114,,,,,,,,,,
114471,Seguridad social por cobrar,,Asset,,,No,,114,,,,,,,,,,
114472,IVA credito fiscal,,Asset,,,No,,114,,,,,,,,,,
114473,Tributos pagados por anticipado,,Asset,,,No,,114,,,,,,,,,,
114474,Tributos Municipales Prepagados,,Asset,,,No,,114,,,,,,,,,,
114477,IVA Retenido de Clientes,,Asset,,,No,,114,,,,,,,,,,
114479,ISLR Retenido de Clientes,,Asset,,,No,,114,,,,,,,,,,
115,Inventarios,,Asset,,,Yes,,11,,,,,,,,,,
115300,Mercancias para la Venta,Inventory Account,Asset,,Yes,No,W_INVENTORY_ACCT,115,,,,,,,,,,
115301,Mercancias de Muestra para la venta,Floor Stock Account,Asset,,Yes,No,P_FLOORSTOCK_ACCT,115,,,,,,,,,,
115309,Mercancias en Transito,,Asset,,,No,,115,,,,,,,,,,
115310,Materias Primas,,Asset,,,No,,115,,,,,,,,,,
115320,Elementos incorporables,,Asset,,,No,,115,,,,,,,,,,
115321,Combustibles,,Asset,,,No,,115,,,,,,,,,,
