Value/K,Name,Description,IsSummary,IsDefault,IsActive
089,Explotación de minas y canteras.,"Esta clase incluye: extracción de fosfatos naturales y malato de potasio natural; extracción de azufre natural; extracción y preparación de pirita y pirotina, excepto calcinadas; extracción del sulfato de bario mineral y carbonato (baritina), boratos naturales, sulfato de magnesio natural; extracción de tierras colorantes, fluorita y otros minerales valoradas principalmente como fuente de químicos. Esta clase también incluye: explotación de guano. Esta clase excluye: extracción de sal, ver 0893; calcinamiento de piritas de hierro, ver 2011; elaboración de fertilizante sintético y compuestos de nitrógeno, ver 2012,",N,N,Y
106,"Elaboración de productos de molinería, almidones y productos derivados de almidón.","Este grupo incluye la molienda de harina o sémola de granos o vegetales, molienda, limpieza y pulido de arroz, como también la elaboración de harina mezclada o pasta de estos productos. También está incluido en este grupo la molienda de maíz húmedo y vegetal y la elaboración de almidón y productos derivados del almidón.",N,N,Y
107,Elaboración de otros productos alimenticios.,"Este grupo incluye la producción de una variedad de productos alimenticios no incluidos en los grupos previos de esta división. Esto incluye la producción de productos de panadería, azúcar y dulces, fideos macarrones y productos similares, comidas y platos preparados, café, té y especias como también productos alimenticios perecederos y especializados.",N,N,Y
110,Elaboración de bebidas.,"Esta división incluye la elaboración de bebidas, tales como bebidas no alcohólicas y agua mineral, elaboración de bebidas alcohólicas mayormente a través de la fermentación, cerveza y vino y la elaboración de bebidas alcohólicas destiladas. Esta división excluye: producción de frutas y jugos vegetales, ver 1030; elaboración de bebidas basadas en leche, ver 1050; elaboración de productos de café, té y mate, ver 1079",N,N,Y
0111,"Cultivo de Cereales (excepto arroz), legumbres y semillas oleaginosas.","Esta clase incluye todas las formas de cultivo de cereales, legumbres y semillas oleaginosas, incluye la agricultura considerada orgánica y los cultivos genéticamente modificados. La producción de estos cultivos es a menudo combinada dentro de unidades agrícolas. Esta clase incluye el cultivo de cereales como: trigo, granos de maíz, sorgo, cebada, centeno, avena, mijo; cultivo de legumbres como: frijoles, hablas, garbanzos, lentejas, guisantes y otras legumbres y el cultivo de semillas oleaginosas como: soya, cacahuate, semillas de algodón, ricino, linaza, semilla de mostaza, semillas de girasol de sésamo y otras semillas oleaginosas.",N,N,Y
0112,Cultivo de Arroz.,"Esta clase incluye el cultivo de arroz, incluido el cultivo orgánico y el cultivo de arroz genéticamente modificado.",N,N,Y
0113,"Cultivos de Vegetales y Melones, Raíces y Tubérculos.","Cultivo de hortalizas con tallo o con frondosas como: alcachofas, espárragos, repollo coliflor, brócoli, lechugas, achicoria, espinaca, otras verduras frondosas o con tallo. Cultivo de hortalizas que dan frutos como pepinos, pepinillos, sandías, melones, tomates, berenjenas y otras verduras que dan frutos. Cultivo de raíces, bulbos y vegetales tubérculos como: ajos, nabos, cebollas (incluida chalota), zanahorias, puerros,  y otros vegetales tubérculos o bulbos. Cultivo de champińones y trufas. Cultivo de semillas vegetales excepto semillas de remolacha Cultivo de remolacha azucarera. Cultivo de otros vegetales. Cultivo de raíces y tubérculos como: papas, camotes, yuca, ńame y otras raíces y tubérculos.",N,N,Y
0114,Cultivo de Cańa de Azúcar.,"Esta clase incluye: Cultivo de cańa de azúcar. Esta clase no incluye el cultivo de la remolacha azucarera, ver 0113.",N,N,Y
0115,Cultivo de Tabaco.,Esta clase incluye el cultivo del tabaco no elaborado: tabaco curado del tallo.,N,N,Y
0116,Cultivo de Fibras.,"Esta clase incluye:Cultivo de algodón, del yute, del kenaf y de otras fibras de la estopa del textil - cultivo del lino y del cáńamo verdadero - cultivo del sisal y de la otra fibra del textil del género agave - cultivo del abacá, del ramie y de otras fibra",N,N,Y
