AD_Org_ID[Name],AD_Package_Exp_ID[Name],Line,Type,AD_EntityType_ID[EntityType],AD_Menu_ID[Name],FileName,File_Directory,Target_Directory,Destination_FileName,Destination_Directory,AD_Table_ID[Name],DBType,SQLStatement,AD_Package_Code_Old,AD_Package_Code_New,AD_Form_ID[Name],AD_Process_ID[Value],AD_Workflow_ID[Value],AD_Window_ID[Name],AD_Role_ID[Name],AD_ReportView_ID[Name],AD_ImpFormat_ID[Name],AD_Val_Rule_ID[Name],AD_Message_ID[Value],AD_PrintFormat_ID[Name],ReleaseNo,Description,AD_Reference_ID[Name],AD_ModelValidator_ID[Name],AD_InfoWindow_ID[Name],ExecCode
*,AMERPSOFT LVE Withholding,10,ET,QSS_LCO,,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT LVE Withholding,20,ET,AMERP,,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT LVE Withholding,30,M,,Business Partner Channel,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT LVE Withholding,40,M,,Business Partner Holding Group,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT LVE Withholding,42,REF,,,,,,,,,ALL,,,,,,,,,,,,,,,,M_Product Category Summary,,,
*,AMERPSOFT LVE Withholding,44,REF,,,,,,,,,ALL,,,,,,,,,,,,,,,,M_Product Category All ,,,
*,AMERPSOFT LVE Withholding,46,REF,,,,,,,,,ALL,,,,,,,,,,,,,,,,M_Product_Class,,,
*,AMERPSOFT LVE Withholding,48,REF,,,,,,,,,ALL,,,,,,,,,,,,,,,,M_Product_Line,,,
*,AMERPSOFT LVE Withholding,50,REF,,,,,,,,,ALL,,,,,,,,,,,,,,,,M_Product_Discipline,,,
*,AMERPSOFT LVE Withholding,52,REF,,,,,,,,,ALL,,,,,,,,,,,,,,,,M_Product_Family,,,
*,AMERPSOFT LVE Withholding,55,M,,Product Class,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT LVE Withholding,60,M,,Product Brand,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT LVE Withholding,70,M,,Product Family,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT LVE Withholding,80,M,,Product Discipline,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT LVE Withholding,90,M,,Product Line,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT LVE Withholding,1000,T,,,,,,,,Business Partner,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT LVE Withholding,1010,W,,,,,,,,,ALL,,,,,,,Business Partner,,,,,,,,,,,,
*,AMERPSOFT LVE Withholding,10000,D,,,,,,,,Package Exp.,ALL,SELECT * FROM AD_Package_Exp WHERE AD_Package_Exp_UU='c43f0b91-aa0e-4d17-acd0-127006881c31';AD_Package_Exp_Detail,,,,,,,,,,,,,,,,,,
