AD_Org_ID[Name],AD_Package_Exp_ID[Name],Line,Type,AD_EntityType_ID[EntityType],AD_Menu_ID[Name],FileName,File_Directory,Target_Directory,Destination_FileName,Destination_Directory,AD_Table_ID[Name],DBType,SQLStatement,AD_Package_Code_Old,AD_Package_Code_New,AD_Form_ID[Name],AD_Process_ID[Value],AD_Workflow_ID[Value],AD_Window_ID[Name],AD_Role_ID[Name],AD_ReportView_ID[Name],AD_ImpFormat_ID[Name],AD_Val_Rule_ID[Name],AD_Message_ID[Value],AD_PrintFormat_ID[Name],ReleaseNo,Description,AD_Reference_ID[Name],AD_ModelValidator_ID[Name],AD_InfoWindow_ID[Name],ExecCode
*,AMERPSOFT LVE Withholding Windows,1000,T,,,,,,,,Invoice,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT LVE Withholding Windows,1010,REF,,,,,,,,,ALL,,,,,,,,,,,,,,,,C_DocType SubTypeWH,,,
*,AMERPSOFT LVE Withholding Windows,1020,REF,,,,,,,,,ALL,,,,,,,,,,,,,,,,C_DocType Seniat Books,,,
*,AMERPSOFT LVE Withholding Windows,1040,T,,,,,,,,Document Type,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT LVE Withholding Windows,4000,D,,,,,,,,Style,ALL,"SELECT * FROM ad_style  WHERE AD_Style_id IN (1000000, 1000001, 1000002, 1000003, 1000004, 1000005, 1000006, 1000007, 1000008, 1000009, 1000010, 1000011, 1000012, 1000013)",,,,,,,,,,,,,,,,,,
*,AMERPSOFT LVE Withholding Windows,4010,D,,,,,,,,Style Line,ALL,"SELECT * FROM ad_styleline  WHERE AD_Style_id IN (1000000, 1000001, 1000002, 1000003, 1000004, 1000005, 1000006, 1000007, 1000008, 1000009, 1000010, 1000011, 1000012, 1000013)",,,,,,,,,,,,,,,,,,
*,AMERPSOFT LVE Withholding Windows,5000,REF,,,,,,,,,ALL,,,,,,,,,,,,,,,,M_PriceList SO,,,
*,AMERPSOFT LVE Withholding Windows,5010,REF,,,,,,,,,ALL,,,,,,,,,,,,,,,,C_DocType DocBaseType,,,
*,AMERPSOFT LVE Withholding Windows,5010,V,,,,,,,,,ALL,,,,,,,,,,,M_PriceList is SO Local Currency,,,,,,,,
*,AMERPSOFT LVE Withholding Windows,6000,W,,,,,,,,,ALL,,,,,,,Invoice (Customer Withholding ),,,,,,,,,,,,
*,AMERPSOFT LVE Withholding Windows,6010,W,,,,,,,,,ALL,,,,,,,Invoice (Customer) Non Fiscal Document,,,,,,,,,,,,
