AD_Org_ID[Name],Value,Name,Description,C_Activity_ID[Value],IsActive
"Maracaibo Country Club",000,ABOGADO,,,Y
"Maracaibo Country Club",004,ACTOR,,,Y
"Maracaibo Country Club",005,ADMINISTRADOR,,,Y
"Maracaibo Country Club",006,ADMINISTRADOR COMERCIAL,,,Y
"Maracaibo Country Club",007,AEROFOTOGRAFO,,,Y
"Maracaibo Country Club",008,AEROMOZA,,,Y
"Maracaibo Country Club",009,AFILADOR,,,Y
"Maracaibo Country Club",010,AFORADOR,,,Y
"Maracaibo Country Club",011,AGENTE COMERCIAL,,,Y
"Maracaibo Country Club",012,AGENTE DE SEGURIDAD,,,Y
"Maracaibo Country Club",013,AGENTE DE SEGURO,,,Y
"Maracaibo Country Club",014,AGENTE DE TRAFICO AEREO,,,Y
"Maracaibo Country Club",015,AGENTE VIAJERO,,,Y
"Maracaibo Country Club",016,AGRICULTOR,,,Y
"Maracaibo Country Club",017,AGRIMENSOR,,,Y
"Maracaibo Country Club",018,AGRONOMO,,,Y
"Maracaibo Country Club",019,ALBA�IL,,,Y
"Maracaibo Country Club",020,ALFARERO,,,Y
"Maracaibo Country Club",021,ALMACENISTA,,,Y
"Maracaibo Country Club",023,ALPARGATERO,,,Y
"Maracaibo Country Club",024,AMA DE LLAVES,,,Y
"Maracaibo Country Club",025,AMADOR DE BUQUES,,,Y
"Maracaibo Country Club",026,ANALISTA,,,Y
"Maracaibo Country Club",027,ANALISTA DE SISTEMAS,,,Y
"Maracaibo Country Club",028,ANESTSISTA,,,Y
"Maracaibo Country Club",029,ANFITRIONA,,,Y
"Maracaibo Country Club",030,ANIMADORA,,,Y
"Maracaibo Country Club",031,ANTROPOLOGO,,,Y
"Maracaibo Country Club",032,APLANCHADOR,,,Y
"Maracaibo Country Club",033,APODERADO DE COMERCIO,,,Y
"Maracaibo Country Club",034,APRENDIZ,,,Y
"Maracaibo Country Club",035,ARCHIVERO,,,Y
"Maracaibo Country Club",036,ARMADOR,,,Y
"Maracaibo Country Club",037,ARMERO,,,Y
"Maracaibo Country Club",038,ARQUEOLOGO,,,Y
"Maracaibo Country Club",039,ARQUITECTO,,,Y
"Maracaibo Country Club",040,ARTES GRAFICAS,,,Y
"Maracaibo Country Club",041,ARTESANO,,,Y
"Maracaibo Country Club",042,ARTISTA,,,Y
"Maracaibo Country Club",043,ASCENSORISTA,,,Y
"Maracaibo Country Club",044,ASERRADOR,,,Y
"Maracaibo Country Club",045,ASESOR,,,Y
"Maracaibo Country Club",046,ASISTENTE,,,Y
"Maracaibo Country Club",047,ASISTENTE ADMINISTRATIVO,,,Y
"Maracaibo Country Club",048,ASISTENTE CONTABLE,,,Y
"Maracaibo Country Club",049,ATENCION AL CLIENTE,,,Y
"Maracaibo Country Club",050,AUDITOR,,,Y
"Maracaibo Country Club",051,AUXILIAR,,,Y
"Maracaibo Country Club",052,AUXILIAR DE ENFERMERIA,,,Y
"Maracaibo Country Club",053,AUXILIAR DE FARMACIA,,,Y
"Maracaibo Country Club",054,AUXILIAR DE LABORATORIO,,,Y
"Maracaibo Country Club",055,AVIADOR MILITAR,,,Y
"Maracaibo Country Club",056,AVICULTOR,,,Y
"Maracaibo Country Club",057,AYA O MINERA,,,Y
"Maracaibo Country Club",058,AYUDANTE,,,Y
"Maracaibo Country Club",059,AZOGADOR,,,Y
"Maracaibo Country Club",060,BACTERIOLOGO,,,Y
"Maracaibo Country Club",061,BANQUERO,,,Y
"Maracaibo Country Club",062,BARBERO,,,Y
"Maracaibo Country Club",063,BARMAN,,,Y
"Maracaibo Country Club",064,BIBLIOTECARIO,,,Y
"Maracaibo Country Club",065,BILLETERO,,,Y
"Maracaibo Country Club",066,BIOANALISTA,,,Y
"Maracaibo Country Club",067,BIOLOGO,,,Y
"Maracaibo Country Club",068,BIOQUIMICO,,,Y
"Maracaibo Country Club",069,BOMBERO,,,Y
"Maracaibo Country Club",070,BORDADOR,,,Y
"Maracaibo Country Club",071,BOTANICO,,,Y
"Maracaibo Country Club",072,BOTIQUINERO,,,Y
"Maracaibo Country Club",073,BOXEADOR,,,Y
"Maracaibo Country Club",074,CABALLERICERO,,,Y
"Maracaibo Country Club",075,CABILLERO,,,Y
"Maracaibo Country Club",076,CABLEGRATISTA,,,Y
"Maracaibo Country Club",077,CAJERO,,,Y
"Maracaibo Country Club",078,CAJISTA,,,Y
"Maracaibo Country Club",079,CALCETERO,,,Y
"Maracaibo Country Club",080,CALDERERO,,,Y
"Maracaibo Country Club",081,CALIGRAFO,,,Y
"Maracaibo Country Club",082,CAMARERO,,,Y
"Maracaibo Country Club",083,CAMARERO DE BARCO,,,Y
"Maracaibo Country Club",084,CAMILLERO,,,Y
"Maracaibo Country Club",085,CAMIRAMAN,,,Y
"Maracaibo Country Club",086,CANTERO,,,Y
"Maracaibo Country Club",087,CAPATAZ O CAPORAL,,,Y
"Maracaibo Country Club",088,CAPICULTOR,,,Y
"Maracaibo Country Club",089,CAPITAN DE NAVIO,,,Y
"Maracaibo Country Club",090,CARBONERO,,,Y
"Maracaibo Country Club",091,CARNICERO,,,Y
"Maracaibo Country Club",092,CARPINTERO,,,Y
"Maracaibo Country Club",093,CARPINTERO O CARRETILLERO,,,Y
"Maracaibo Country Club",094,CARRIERO,,,Y
"Maracaibo Country Club",095,CARRUAJERO,,,Y
"Maracaibo Country Club",096,CARTOGRAFO,,,Y
"Maracaibo Country Club",097,CARTONERO,,,Y
"Maracaibo Country Club",098,CATEDRATICO,,,Y
"Maracaibo Country Club",100,CEMENTERO,,,Y
"Maracaibo Country Club",101,CERAMISTA,,,Y
"Maracaibo Country Club",102,CERRAJERO,,,Y
"Maracaibo Country Club",103,CHARCUTERO,,,Y
"Maracaibo Country Club",104,CHOFER,,,Y
"Maracaibo Country Club",105,CIENTIFICO,,,Y
"Maracaibo Country Club",106,CLIMATOLOGO,,,Y
"Maracaibo Country Club",107,COBRADOR,,,Y
"Maracaibo Country Club",108,COCINERO,,,Y
"Maracaibo Country Club",109,COLECTOR,,,Y
"Maracaibo Country Club",110,COLECTOR DE AUTOBUSES,,,Y
"Maracaibo Country Club",111,COLECTOR DE TRANVIAS,,,Y
"Maracaibo Country Club",112,COMENTARISTA,,,Y
"Maracaibo Country Club",113,COMERCIANTE,,,Y
"Maracaibo Country Club",114,COMISIONISTA,,,Y
"Maracaibo Country Club",115,CONFERENCISTA,,,Y
"Maracaibo Country Club",116,CONFITERO O DULCERO,,,Y
"Maracaibo Country Club",117,CONSERJE,,,Y
"Maracaibo Country Club",118,CONSTRUCTOR,,,Y
"Maracaibo Country Club",119,CONTABILISTA,,,Y
"Maracaibo Country Club",120,CONTADOR,,,Y
"Maracaibo Country Club",121,CONTINUACION FACULTATIVA,,,Y
"Maracaibo Country Club",122,CONTRALOR,,,Y
"Maracaibo Country Club",123,CONTRATISTA DE OBRA,,,Y
"Maracaibo Country Club",124,COORDINADOR,,,Y
"Maracaibo Country Club",125,COPILOTO,,,Y
"Maracaibo Country Club",126,CORCETERO,,,Y
"Maracaibo Country Club",127,CORDELERO,,,Y
