AD_Org_ID[Name],AD_Package_Exp_ID[Name],Line,Type,AD_EntityType_ID[EntityType],AD_Menu_ID[Name],FileName,File_Directory,Target_Directory,Destination_FileName,Destination_Directory,AD_Table_ID[Name],DBType,SQLStatement,AD_Package_Code_Old,AD_Package_Code_New,AD_Form_ID[Name],AD_Process_ID[Value],AD_Workflow_ID[Value],AD_Window_ID[Name],AD_Workbench_ID[Name],AD_Role_ID[Name],AD_ReportView_ID[Name],AD_ImpFormat_ID[Name],AD_Val_Rule_ID[Name],AD_Message_ID[Value],AD_PrintFormat_ID[Name],ReleaseNo,Description,AD_Reference_ID[Name],AD_ModelValidator_ID[Name],AD_InfoWindow_ID[Name],ExecCode
*,AMERPSOFT Personnel and Payroll #5,1020,W,,,,,,,,,ALL,,,,,,,Personnel and Payroll Attendance Registry by Periods,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #5,1030,W,,,,,,,,,ALL,,,,,,,Personnel and Payroll Concepts ,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #5,1040,W,,,,,,,,,ALL,,,,,,,Personnel and Payroll Concepts Types and Contracts,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #5,1050,W,,,,,,,,,ALL,,,,,,,Personnel and Payroll Consulting Loans by RoleAccess,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #5,1060,W,,,,,,,,,ALL,,,,,,,Personnel and Payroll Contract,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #5,1065,W,,,,,,,,,ALL,,,,,,,Personnel and Payroll Default Accounts,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #5,1070,W,,,,,,,,,ALL,,,,,,,Personnel and Payroll Department,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #5,1080,W,,,,,,,,,ALL,,,,,,,Personnel and Payroll Dependent Type,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #5,1090,W,,,,,,,,,ALL,,,,,,,Personnel and Payroll Employee,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #5,1100,W,,,,,,,,,ALL,,,,,,,Personnel and Payroll Employee Consultation,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #5,1110,W,,,,,,,,,ALL,,,,,,,Personnel and Payroll Job Stations,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #5,1120,W,,,,,,,,,ALL,,,,,,,Personnel and Payroll Job Titles,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #5,1130,W,,,,,,,,,ALL,,,,,,,Personnel and Payroll Job Units,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #5,1140,W,,,,,,,,,ALL,,,,,,,Personnel and Payroll Location,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #5,1150,W,,,,,,,,,ALL,,,,,,,Personnel and Payroll Periods Payroll by Fiscal Year,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #5,1160,W,,,,,,,,,ALL,,,,,,,Personnel and Payroll Shift,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #5,1200,W,,,,,,,,,ALL,,,,,,,Personnel and Payroll Process,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #5,1210,W,,,,,,,,,ALL,,,,,,,Personnel and Payroll Rates,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #5,1220,W,,,,,,,,,ALL,,,,,,,Personnel and Payroll Role Access,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #5,1230,W,,,,,,,,,ALL,,,,,,,Personnel and Payroll Concepts Types and Process,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #5,1240,W,,,,,,,,,ALL,,,,,,,Personnel and Payroll Concepts Types,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #5,1250,W,,,,,,,,,ALL,,,,,,,Personnel and Payroll Periods Social Benefits by Fiscal Yr,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #5,1260,W,,,,,,,,,ALL,,,,,,,Personnel and Payroll Position,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #5,1270,W,,,,,,,,,ALL,,,,,,,Personnel and Payroll Preparing Loans by RoleAccess2,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #5,1280,W,,,,,,,,,ALL,,,,,,,Personnel and Payroll Preparing Payroll by RoleAccess2,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #5,1290,W,,,,,,,,,ALL,,,,,,,Personnel and Payroll Preparing Social Benefit by RoleAcces2,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #5,1295,W,,,,,,,,,ALL,,,,,,,Personnel and Payroll Preparing Receipts by Lot,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #5,1305,D,,,,,,,,Package Exp.,ALL,SELECT * FROM AD_Package_Exp WHERE AD_Package_Exp_UU='6e0bdf21-caf4-428c-8602-55c08d27e102';AD_Package_Exp_Detail,,,,,,,,,,,,,,,,,,,
