AD_Org_ID[Name],AD_Package_Exp_ID[Name],Line,Type,AD_EntityType_ID[EntityType],AD_Menu_ID[Name],FileName,File_Directory,Target_Directory,Destination_FileName,Destination_Directory,AD_Table_ID[Name],DBType,SQLStatement,AD_Package_Code_Old,AD_Package_Code_New,AD_Form_ID[Name],AD_Process_ID[Value],AD_Workflow_ID[Value],AD_Window_ID[Name],AD_Workbench_ID[Name],AD_Role_ID[Name],AD_ReportView_ID[Name],AD_ImpFormat_ID[Name],AD_Val_Rule_ID[Name],AD_Message_ID[Value],AD_PrintFormat_ID[Name],ReleaseNo,Description,AD_Reference_ID[Name],AD_ModelValidator_ID[Name],AD_InfoWindow_ID[Name],ExecCode
*,AMERPSOFT Personnel and Payroll #6,10,ET,QSS_LCO,,,,,,,,ALL,,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #6,20,T,,,,,,,,ISIC,ALL,,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #6,30,REF,,,,,,,,,ALL,,,,,,,,,,,,,,,,,LCO_ISIC_ID,,,
*,AMERPSOFT Personnel and Payroll #6,100,M,,Personnel and Payroll ,,,,,,,ALL,,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #6,110,M,,Personnel and Payroll Main Tables,,,,,,,ALL,,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #6,120,M,,Personnel and Payroll Tables Maintainance,,,,,,,ALL,,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #6,130,M,,Personnel and Payroll Concepts,,,,,,,ALL,,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #6,135,M,,Employees,,,,,,,ALL,,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #6,140,M,,Personnel and Payroll Processes,,,,,,,ALL,,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #6,150,M,,Personnel and Payroll Social Benefits Processes,,,,,,,ALL,,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #6,160,M,,Personnel and Payroll Provision Processes,,,,,,,ALL,,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #6,170,M,,Personnel and Payroll Reports,,,,,,,ALL,,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #6,180,M,,Personnel and Payroll Employee Consultation,,,,,,,ALL,,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #6,190,M,,Personnel and Payroll Consulting Loans by RoleAccess,,,,,,,ALL,,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #6,210,D,,,,,,,,Package Exp.,ALL,SELECT * FROM AD_Package_Exp WHERE AD_Package_Exp_UU='d6361365-2d72-4a76-a36a-7b3d3332fa88';AD_Package_Exp_Detail,,,,,,,,,,,,,,,,,,,
