AD_Package_Exp_ID[Name],Line,Type,AD_EntityType_ID[EntityType],AD_Menu_ID[Name],AD_Table_ID[Name],AD_Reference_ID[Name],FileName,File_Directory,Target_Directory,Destination_FileName,Destination_Directory,DBType,SQLStatement,AD_Package_Code_Old,AD_Package_Code_New,AD_Form_ID[Name],AD_Process_ID[Value],AD_Workflow_ID[Value],AD_Window_ID[Name],AD_Workbench_ID[Name],AD_Role_ID[Name],AD_ReportView_ID[Name],AD_ImpFormat_ID[Name],AD_Val_Rule_ID[Name],AD_Message_ID[Value],AD_PrintFormat_ID[Name],ReleaseNo,Description,AD_ModelValidator_ID[Name],AD_InfoWindow_ID[Name]
AMERPSOFT Personnel Payroll T1,10,ET,AMERP,,,,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T1,2150,REF,,,,AMN_Assist_Process_Mode,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T1,2160,REF,,,,AMN_Concept_ValidFor,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T1,2170,REF,,,,AMN_Event_Type,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T1,2180,REF,,,,AMN_Status,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T1,2190,REF,,,,AMN_Workforce,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T1,2200,REF,,,,AMN_bloodrh,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T1,2210,REF,,,,AMN_bloodtype,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T1,2220,REF,,,,AMN_civilstatus,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T1,2230,REF,,,,AMN_conceptmode,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T1,2240,REF,,,,AMN_conceptrepeat,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T1,2250,REF,,,,AMN_conceptrule,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T1,2260,REF,,,,AMN_conceptshow,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T1,2270,REF,,,,AMN_conceptsign,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T1,2280,REF,,,,AMN_conceptsource,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T1,2290,REF,,,,AMN_dayofweek,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T1,2300,REF,,,,AMN_educationalgrade,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T1,2310,REF,,,,AMN_egresscondition,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
