AD_Package_Exp_ID[Name],Line,Type,AD_EntityType_ID[EntityType],AD_Menu_ID[Name],AD_Table_ID[Name],AD_Reference_ID[Name],AD_Process_ID[Value],FileName,File_Directory,Target_Directory,Destination_FileName,Destination_Directory,DBType,SQLStatement,AD_Package_Code_Old,AD_Package_Code_New,AD_Form_ID[Name],AD_Workflow_ID[Value],AD_Window_ID[Name],AD_Workbench_ID[Name],AD_Role_ID[Name],AD_ReportView_ID[Name],AD_ImpFormat_ID[Name],AD_Val_Rule_ID[Name],AD_Message_ID[Value],AD_PrintFormat_ID[Name],ReleaseNo,Description,AD_ModelValidator_ID[Name],AD_InfoWindow_ID[Name]
AMERPSOFT Personnel Payroll T3,10,P,,,,,AmperProcConceptTypesCopyAccounts,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,20,P,,,,,AmperProcPayrollCreate,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,30,P,,,,,AmperProcPayrollCreateOneDoc,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,40,P,,,,,AmperProcPayrollProcessCompleteOneDoc,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,50,P,,,,,AmperProcPayrollProcessCompleteOnePer,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,60,P,,,,,AmperProcPayrollProcessPayrollAssistOneD,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,70,P,,,,,AmperProcPayrollProcessPayrollAssistOneE,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,80,P,,,,,AmperProcPayrollProcessPayrollAssistOneP,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,90,P,,,,,AmperProcPayrollProcessPayrollDeferredNN,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,100,P,,,,,AmperProcPayrollProcessPayrollDeferredNU,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,110,P,,,,,AmperProcPayrollProcessPayrollDeferredNV,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,115,P,,,,,AmperProcPayrollProcessPayrollDeferredTI,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,120,P,,,,,AmperProcPayrollProcessReactivateOneDoc,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,130,P,,,,,AmperProcPayrollProcessReactivateOnePer,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,134,P,,,,,AmperProcPayrollProcessSBSalaryHisOneD,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,136,P,,,,,AmperProcPayrollProcessSBSalaryHisOnePer,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,140,P,,,,,AmperProcPayrollRefresh,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,150,P,,,,,AmperProcPayrollTransferPayrollAssistOnE,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,160,P,,,,,AmperProcPayrollTransferPayrollAssistOnP,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,170,P,,,,,AmperProcPeriodCreate,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,180,P,,,,,AmperProcPeriodCreateAssistPeriod,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,184,P,,,,,AmperRepPayrollworkForce,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,190,P,,,,,AmperProcProcessPayroll,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,200,P,,,,,AmperRepAntiquityFile,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,210,P,,,,,AmperRepAntiquityFileAll,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,220,P,,,,,AmperRepAntiquityFileToolbar,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,225,P,,,,,AmperRepAntiquityFileAnalitic,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,230,P,,,,,AmperRepDailyBiometricPersonnelAttendanc,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,240,P,,,,,AmperRepDailyPersonnelPayrollAttendance,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,250,P,,,,,AmperRepEmployeeFile,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,260,P,,,,,AmperRepEmployees,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,270,P,,,,,AmperRepEmployeesSelective,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,275,P,,,,,AmperRepEmployeesShort,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,280,P,,,,,AmperRepFoodTicket,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,290,P,,,,,AmperRepFoodTicketHoursPaid,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,300,P,,,,,AmperRepHousingSavingFund,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,310,P,,,,,AmperRepHousingSavingFundCSV,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,320,P,,,,,AmperRepINCEEmployerContribution,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,330,P,,,,,AmperRepJobOrganization,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,330,P,,,,,AmperRepINCEEmployerContributionByProces,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,334,P,,,,,AmperProcPeriodCreate,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,336,P,,,,,AmperProcPeriodCreateAssistPeriod,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,340,P,,,,,AmperRepPayrollAccounting,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,350,P,,,,,AmperRepPayrollAccountingCheck,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,360,P,,,,,AmperRepPayrollConcepts,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,370,P,,,,,AmperRepPayrollHistoric,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,380,P,,,,,AmperRepPayrollHistoricByConcepts,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,390,P,,,,,AmperRepPayrollListLandscape,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
