Value,Name,Description,year,month,StartDate,EndDate,C_Currency_ID,ipc,IsActive,salary_mo,Salary_Day,active_int_rate,active_int_rate2,inflation,TaxUnit,salary_day_20,salary_mo_20,salary_day_ru,salary_mo_ru
1975-01,ene-75,enero-1975,1975,1,1975-01-01,1975-01-31,205,"0,00",Y,"0,00","0,00","0,00","5,50","0,00",,"0,00","0,00",,
1975-02,feb-75,febrero-1975,1975,2,1975-02-01,1975-02-28,205,"0,00",Y,"0,00","0,00","0,00","5,50","0,00",,"0,00","0,00",,
1975-03,mar-75,marzo-1975,1975,3,1975-03-01,1975-03-31,205,"0,00",Y,"0,00","0,00","0,00","5,50","0,00",,"0,00","0,00",,
1975-04,abr-75,abril-1975,1975,4,1975-04-01,1975-04-30,205,"0,00",Y,"0,00","0,00","0,00","5,50","0,00",,"0,00","0,00",,
1975-05,may-75,mayo-1975,1975,5,1975-05-01,1975-05-31,205,"0,00",Y,"0,00","0,00","0,00","5,50","0,00",,"0,00","0,00",,
1975-06,jun-75,junio-1975,1975,6,1975-06-01,1975-06-30,205,"0,00",Y,"0,00","0,00","0,00","5,50","0,00",,"0,00","0,00",,
1975-07,jul-75,julio-1975,1975,7,1975-07-01,1975-07-31,205,"0,00",Y,"0,00","0,00","0,00","5,50","0,00",,"0,00","0,00",,
1975-08,ago-75,agosto-1975,1975,8,1975-08-01,1975-08-31,205,"0,00",Y,"0,00","0,00","0,00","5,50","0,00",,"0,00","0,00",,
1975-09,sep-75,septiembre-1975,1975,9,1975-09-01,1975-09-30,205,"0,00",Y,"0,00","0,00","0,00","5,50","0,00",,"0,00","0,00",,
1975-10,oct-75,octubre-1975,1975,10,1975-10-01,1975-10-31,205,"0,00",Y,"0,00","0,00","0,00","5,50","0,00",,"0,00","0,00",,
1975-11,nov-75,noviembre-1975,1975,11,1975-11-01,1975-11-30,205,"0,00",Y,"0,00","0,00","0,00","5,50","0,00",,"0,00","0,00",,
1975-12,dic-75,diciembre-1975,1975,12,1975-12-01,1975-12-31,205,"0,00",Y,"0,00","0,00","0,00","5,50","0,00",,"0,00","0,00",,
