AD_Org_ID[Name],AD_Package_Exp_ID[Name],Line,Type,AD_EntityType_ID[EntityType],AD_Menu_ID[Name],FileName,File_Directory,Target_Directory,Destination_FileName,Destination_Directory,AD_Table_ID[Name],DBType,SQLStatement,AD_Package_Code_Old,AD_Package_Code_New,AD_Form_ID[Name],AD_Process_ID[Value],AD_Workflow_ID[Value],AD_Window_ID[Name],AD_Role_ID[Name],AD_ReportView_ID[Name],AD_ImpFormat_ID[Name],AD_Val_Rule_ID[Name],AD_Message_ID[Value],AD_PrintFormat_ID[Name],ReleaseNo,Description,AD_Reference_ID[Name],AD_ModelValidator_ID[Name],AD_InfoWindow_ID[Name],ExecCode
*,AMERPSOFT Personnel and Payroll #4,10,P,,,,,,,,,ALL,,,,,AmperProcConceptTypesCopyAccounts,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #4,20,P,,,,,,,,,ALL,,,,,AmperProcPayrollCreate,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #4,30,P,,,,,,,,,ALL,,,,,AmperProcPayrollCreateOneDoc,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #4,40,P,,,,,,,,,ALL,,,,,AmperProcPayrollProcessCompleteOneDoc,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #4,50,P,,,,,,,,,ALL,,,,,AmperProcPayrollProcessCompleteOnePer,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #4,60,P,,,,,,,,,ALL,,,,,AmperProcPayrollProcessPayrollAssistOneD,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #4,70,P,,,,,,,,,ALL,,,,,AmperProcPayrollProcessPayrollAssistOneE,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #4,80,P,,,,,,,,,ALL,,,,,AmperProcPayrollProcessPayrollAssistOneP,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #4,90,P,,,,,,,,,ALL,,,,,AmperProcPayrollProcessPayrollDeferredNN,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #4,100,P,,,,,,,,,ALL,,,,,AmperProcPayrollProcessPayrollDeferredNU,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #4,110,P,,,,,,,,,ALL,,,,,AmperProcPayrollProcessPayrollDeferredNV,,,,,,,,,,,,,,
