AD_Org_ID[Name],AD_Package_Exp_ID[Name],Line,Type,AD_EntityType_ID[EntityType],AD_Menu_ID[Name],FileName,File_Directory,Target_Directory,Destination_FileName,Destination_Directory,AD_Table_ID[Name],DBType,SQLStatement,AD_Package_Code_Old,AD_Package_Code_New,AD_Form_ID[Name],AD_Process_ID[Value],AD_Workflow_ID[Value],AD_Window_ID[Name],AD_Role_ID[Name],AD_ReportView_ID[Name],AD_ImpFormat_ID[Name],AD_Val_Rule_ID[Name],AD_Message_ID[Value],AD_PrintFormat_ID[Name],ReleaseNo,Description,AD_Reference_ID[Name],AD_ModelValidator_ID[Name],AD_InfoWindow_ID[Name],ExecCode
*,AMERPSOFT Personnel and Payroll R11 LPY-36 Reports,4000,P,,,,,,,,,ALL,,,,,AmperRepEmployeeCardFront,,,,,,,,,,CHanges on Parameter,,,,
*,AMERPSOFT Personnel and Payroll R11 LPY-36 Reports,4010,P,,,,,,,,,ALL,,,,,AmperRepEmployeesBirthday,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll R11 LPY-36 Reports,4020,P,,,,,,,,,ALL,,,,,AmperRepEmployeesAniversary,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll R11 LPY-36 Reports,4030,P,,,,,,,,,ALL,,,,,AmperRepEmployeesBySexAges,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll R11 LPY-36 Reports,4040,P,,,,,,,,,ALL,,,,,AmperRepPayrollHistoric,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll R11 LPY-36 Reports,4050,P,,,,,,,,,ALL,,,,,AmperRepPayrollHistoricNU,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll R11 LPY-36 Reports,4060,P,,,,,,,,,ALL,,,,,AmperRepPayrollListbyConcepts,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll R11 LPY-36 Reports,4070,P,,,,,,,,,ALL,,,,,AmperRepPayrollListbyConcepts2Dates,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll R11 LPY-36 Reports,4080,P,,,,,,,,,ALL,,,,,AmperRepPayrollListbyConcepts2DatesTB,,,,,,,,,,For Concept Type - Tab Dates and limits ,,,,
*,AMERPSOFT Personnel and Payroll R11 LPY-36 Reports,4090,P,,,,,,,,,ALL,,,,,AmperRepEmployeesDependents,,,,,,,,,,For Concept Type - Tab Dates and limits ,,,,
*,AMERPSOFT Personnel and Payroll R11 LPY-36 Reports,4100,P,,,,,,,,,ALL,,,,,AmperRepEmployeesDependentsSelec,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll R11 LPY-36 Reports,4200,P,,,,,,,,,ALL,,,,,AmperRepEmployeeJobLetter,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll R11 LPY-36 Reports,4300,P,,,,,,,,,ALL,,,,,AmperRepPayrollPLReceiptsToolbar,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll R11 LPY-36 Reports,4400,P,,,,,,,,,ALL,,,,,AmperRepPayrollAccounting,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll R11 LPY-36 Reports,4410,REF,,,,,,,,,ALL,,,,,,,,,,,,,,,,C_Year_last,,,
*,AMERPSOFT Personnel and Payroll R11 LPY-36 Reports,4415,REF,,,,,,,,,ALL,,,,,,,,,,,,,,,,C_Currencies Region,,,
*,AMERPSOFT Personnel and Payroll R11 LPY-36 Reports,4420,P,,,,,,,,,ALL,,,,,AmperRepPayrollworkForce,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll R11 LPY-36 Reports,4430,P,,,,,,,,,ALL,,,,,AmperRepPayrollAccountingCheck,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll R11 LPY-36 Reports,4440,P,,,,,,,,,ALL,,,,,AmperRepPayrollListLandscapeAllPeriods,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll R11 LPY-36 Reports,8010,M,,Amper Employees Report for Birthday,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll R11 LPY-36 Reports,8020,M,,Amper Employees Report for Aniversary,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll R11 LPY-36 Reports,8030,M,,Amper Employees Report By Sex and Ages,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll R11 LPY-36 Reports,8040,M,,Amper Payroll Historic Report,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll R11 LPY-36 Reports,8050,M,,Amper Payroll Historic Report for NU,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll R11 LPY-36 Reports,8060,M,,Amper Payroll List by Concepts Report,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll R11 LPY-36 Reports,8070,M,,Amper Payroll List by Concepts between two dates Report,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll R11 LPY-36 Reports,8090,M,,Amper Employees Report Dependents,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll R11 LPY-36 Reports,8100,M,,Amper Employees Report Dependents Selective,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll R11 LPY-36 Reports,10000,D,,,,,,,,Package Exp.,ALL,SELECT * FROM AD_Package_Exp WHERE AD_Package_Exp_UU='6ce627f4-2964-40ca-ad0a-03821ff90ec6';AD_Package_Exp_Detail,,,,,,,,,,,,,,,,,,
