AD_Org_ID[Name],AD_Package_Exp_ID[Name],Line,Type,AD_EntityType_ID[EntityType],AD_Menu_ID[Name],FileName,File_Directory,Target_Directory,Destination_FileName,Destination_Directory,AD_Table_ID[Name],DBType,SQLStatement,AD_Package_Code_Old,AD_Package_Code_New,AD_Form_ID[Name],AD_Process_ID[Value],AD_Workflow_ID[Value],AD_Window_ID[Name],AD_Role_ID[Name],AD_ReportView_ID[Name],AD_ImpFormat_ID[Name],AD_Val_Rule_ID[Name],AD_Message_ID[Value],AD_PrintFormat_ID[Name],ReleaseNo,Description,AD_Reference_ID[Name],AD_ModelValidator_ID[Name],AD_InfoWindow_ID[Name],ExecCode
*,AMERPSOFT Personnel and Payroll R11Vacation,1000,T,,,,,,,,Payroll Invoice,ALL,,,,,,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll R11Vacation,4000,W,,,,,,,,,ALL,,,,,,,Personnel and Payroll Preparing Payroll by RoleAccess2,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll R11Vacation,5000,REF,,,,,,,,,ALL,,,,,,,,,,,,,,,,AMN_Receipt_Copy,,,
*,AMERPSOFT Personnel and Payroll R11Vacation,6000,P,,,,,,,,,ALL,,,,,AmperRepPayrollNVReceipts,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll R11Vacation,6010,P,,,,,,,,,ALL,,,,,AmperRepPayrollNVReceiptsToolbarRep,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll R11Vacation,6030,P,,,,,,,,,ALL,,,,,AmperRepPayrollNVReceiptsToolbarDoc,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll R11Vacation,6040,P,,,,,,,,,ALL,,,,,AmperRepPayrollNVReceiptsToolbarDocA,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll R11Vacation,6050,P,,,,,,,,,ALL,,,,,AmperRepPayrollNVReceiptsToolbarDocC,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll R11Vacation,9000,D,,,,,,,,ToolBar Button,ALL,"SELECT 	* FROM 	AD_ToolBarButton WHERE 	AD_ToolBarButton_ID IN 
(1000072)",,,,,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll R11Vacation,10000,D,,,,,,,,Package Exp.,ALL,SELECT * FROM AD_Package_Exp WHERE AD_Package_Exp_UU='528d46a2-2b85-447c-8b37-0409dde9c4ea';AD_Package_Exp_Detail,,,,,,,,,,,,,,,,,,
